alim_grp_nom_fr;alim_nom_fr;Energie;Eau;Proteines;Glucides;Lipides;Sucres;Fructose;Galactose;Glucose;Lactose;Maltose;Saccharose;Amidon;Fibres alimentaires;Polyols totaux;Cendres;Alcool;Acides organiques;AG satures;AG monoinsatures;AG polyinsatures;AG 4:0, butyrique;AG 6:0, caproeque;AG 8:0, caprylique;AG 10:0, caprique;AG 12:0, laurique;AG 14:0, myristique;AG 16:0, palmitique;AG 18:0, stearique;AG 18:1 9c(n9), oleique;AG 18:2 9c,12c(n6), linoleique;AG 18:3 c9,c12,c15(n3), alphalinolenique;AG 20:4 5c,8c,11c,14c(n6), arachidonique;AG 20:5 5c,8c,11c,14c,17c(n3) EPA;AG 22:6 4c,7c,10c,13c,16c,19c(n3) DHA;Cholesterol(mg/100g);Sel chlorure de sodium;Calcium(mg/100g);Chlorure(mg/100g);Cuivre(mg/100g);Fer(mg/100g);Iode(eg/100g);Magnesium(mg/100g);Manganese(mg/100g);Phosphore(mg/100g);Potassium(mg/100g);Selenium(eg/100g);Sodium(mg/100g);Zinc(mg/100g);Retinol(eg/100g);BetaCarotene(eg/100g);Vitamine D(eg/100g);Vitamine à(mg/100g);Vitamine K1(eg/100g);Vitamine K2(eg/100g);Vitamine C(mg/100g);Vitamine B1 ou Thiamine(mg/100g);Vitamine B2 ou Riboflavine(mg/100g);Vitamine B3 ou PP ou Niacine(mg/100g);Vitamine B5 ou Acide pantothenique(mg/100g);Vitamine B6(mg/100g);Vitamine B9 ou Folates totaux(eg/100g);Vitamine B12(eg/100g)
entrees et plats composes;Salade de thon et legumes. appertisee;;76.5;9.15;7.74;4.7;3.08;0.82;;0.78;;0.3;0.97;4.1;2.7;;1.79;0;;0.56;1.83;1.76;0.05;0.05;0.05;0.05;0.05;8;0.38;0.12;;1.15;56;;8;39;19.2;1.11;20.7;731;0.1;1.1;2;25.1;0.1;88.4;232;;445;0.6;2;;0.5;1.6;;;2.75;0.04;53;4.45;0.16;0.29;31;1.45
entrees et plats composes;Salade composee avec viande ou poisson. appertisee;;76.7;8.06;6.4;5.3;1.9;0.7;;0.6;0.2;0.2;0.6;3.3;2;;1.5;0;;0.16;3.27;1.54;0.01;0.01;0.01;0.01;0.01;0.01;0.12;0.04;2.24;1.08;0.28;16;16;0.15;15.2;0.95;22;584;0.07;0.7;20;20;0.1;92;220;30;381;0.38;21;781;0.44;2.04;9.75;;;32;22;4.13;0.2;0.12;11.1;1.23
entrees et plats composes;Champignons à la grecque. appertises;;85.2;2.08;3.95;3.55;2.38;0.7;;1;0.3;0.3;0.3;0.99;2.35;;1.65;0;;0.23;0.2;1.67;;;;;;;;;;;26;;;;0.11;1.26;27;;0.17;1.06;2.46;13.5;0.13;64.1;277;1.79;500;0.4;0;747;0;1.08;;;6.67;56;0.21;1.84;0.88;88;19.6;18
entrees et plats composes;Salade de pommes de terre. fait maison;;76;2.68;9.9;8.2;;;;;;;;;1.3;;1.95;0;;1.43;2.48;3.74;;;;0;11;13;1.03;0.37;;;;;;;68;1.32;19;;0.12;0.65;;15;0.1;52;254;;529;0.31;29;36;0;;;;10;77;0.06;0.89;0.53;0.14;7;0
entrees et plats composes;Taboule ou Salade de couscous. preemballe;179;60.3;4.88;23.7;6.7;4.9;2;0.2;1.5;0.2;1.4;0.2;17.7;2.5;0.9;1.52;0;0.38;0.67;4.23;1.45;0.01;0.01;0.01;0.01;0.01;0.01;0.47;0.15;3.95;1.1;0.34;0.01;0.01;0.01;0.1;1;24;647;0.16;0.88;20;25;0.4;80;210;20;399;0.65;0;149;0;1.26;10.6;;6.27;87;24;0.5;0.26;52;14.5;0
entrees et plats composes;Salade de pomme de terre à la piemontaise. preemballee;130;75.8;4.5;8.87;8.3;1.2;0.5;0.2;0.7;0.2;0.2;0.2;6;0.5;0.5;1.74;0;0.54;0.82;5.02;2.04;0.01;0.01;0.01;0.01;0.01;0.01;0.54;0.2;4.57;1.47;0.57;0.01;0.01;0.01;29.6;1.08;13;709;0.07;0.43;20;16;0.08;72;300;20;433;0.49;21;93.6;0.5;3.96;10.9;;21.6;0.08;49;0.98;0.44;99;21.6;
entrees et plats composes;Salade de riz. appertisee;;72.5;5.13;16.1;4.35;1;;;;;;;14.3;1.7;;1.49;0;;0.53;2.23;;;;;;0.0042;0.0083;0.36;0.12;2.23;1.05;0.2;;;13;6.5;1.1;23.3;;0.1;0.43;5;13.1;0.1;66.6;143;17.7;431;0.3;2;34;0.5;1.63;;;4.48;58;45;2.65;0.14;0.13;33.5;0.43
entrees et plats composes;Salade de pates. vegetarienne;;72.6;5.7;13.7;8.1;2.3;0.6;0;0.6;0;0.1;0.8;10;1.7;;1.18;0;;2.37;1.46;3.92;;;;;;;;;;;;;;;6;1.04;14;86;0.06;0.6;4;11;0.2;37;84;;51;0.4;7;1180;0;1.95;;;21;0.04;0.02;0.4;0;0.09;16;0
entrees et plats composes;Crudite. sans assaisonnement(aliment moyen);29.9;93.2;0.94;3.07;0.7;2.27;1.12;;1.02;85;85;0.58;0.22;1.51;0.29;0.69;0;94;0.12;0.29;95;0.0041;0.0041;0.0041;0.0041;0.0041;0.0037;0.12;0.0074;0.21;78;17;0.0043;0.0041;0.0041;76;31;25.1;44.9;48;0.42;7.21;11.7;0.17;25.6;241;7.79;12.5;0.17;17;1930;93;0.34;24;;12.2;42;25;0.37;0.17;82;38.8;0
entrees et plats composes;Salade de pates aux legumes. avec poisson ou viande. preemballee;;70.5;5.19;14;9.94;2.16;1.04;;0.86;;0.28;0.26;7.92;1.98;;1.4;0;;1.74;5.85;1.91;;;;;;;;;;;;;0.0023;0.0098;11.3;0.95;19;492;85;0.95;3.13;23.3;0.15;69.4;193;5.3;378;0.53;11;494;0.12;1.18;;;12.3;64;57;1.77;0.28;0.14;18.4;0.14
